18:49, Sunday, February 15, 2026
Study name:Static 1
Units: N/m^2
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
3593  ,-37.7984  ,15.5953  ,-56.0369  ,5.74918e+08
57339  ,-39.7654  ,15.5947  ,-55.5726  ,5.72439e+08
5380  ,-11.8471  ,15.5941  ,-57.7285  ,5.71120e+08
5403  ,-11.8974  ,15.5953  ,-58.303  ,5.70507e+08
3986  ,-39.7403  ,15.5845  ,-55.2852  ,5.69805e+08
4908  ,-13.9907  ,15.5523  ,-59.2826  ,5.69169e+08
3988  ,-39.8413  ,15.5845  ,-56.44  ,5.68425e+08
5385  ,-11.9479  ,15.5845  ,-58.8803  ,5.67318e+08
80685  ,-11.9226  ,15.5899  ,-58.5916  ,5.65896e+08
3999  ,-39.7906  ,15.6048  ,-55.86  ,5.65750e+08
38895  ,-11.8722  ,15.5947  ,-58.0157  ,5.65674e+08
5417  ,-11.696  ,15.4232  ,-56.0013  ,5.62970e+08
4989  ,-13.7385  ,15.4985  ,-56.3996  ,5.62919e+08
4001  ,-39.8918  ,15.5523  ,-57.0165  ,5.62218e+08
79627  ,-39.816  ,15.5947  ,-56.15  ,5.61763e+08
3990  ,-39.9421  ,15.4985  ,-57.5916  ,5.61384e+08
38912  ,-13.8645  ,15.5899  ,-57.84  ,5.57684e+08
5349  ,-11.7964  ,15.5523  ,-57.149  ,5.55878e+08
68888  ,-11.721  ,15.4609  ,-56.2876  ,5.54577e+08
83798  ,-39.9169  ,15.5254  ,-57.3041  ,5.54573e+08
57612  ,-13.9655  ,15.5684  ,-58.9943  ,5.54266e+08
44195  ,-37.8237  ,15.5899  ,-56.3256  ,5.54211e+08
4909  ,-13.8392  ,15.5845  ,-57.5513  ,5.53961e+08
5440  ,-11.7461  ,15.4985  ,-56.5739  ,5.53601e+08
38928  ,-11.7713  ,15.5254  ,-56.8615  ,5.53546e+08
32471  ,-37.7732  ,15.5901  ,-55.7482  ,5.51972e+08
5334  ,-11.9983  ,15.5523  ,-59.4569  ,5.51695e+08
32475  ,-37.7226  ,15.5738  ,-55.1704  ,5.50925e+08
4013  ,-39.6899  ,15.5523  ,-54.7086  ,5.50864e+08
4907  ,-14.0911  ,15.4232  ,-60.4303  ,5.49569e+08
18113  ,-14.0159  ,15.5254  ,-59.5701  ,5.49185e+08
5387  ,-12.0488  ,15.504  ,-60.0338  ,5.47855e+08
3645  ,-37.8996  ,15.5573  ,-57.1927  ,5.47801e+08
89712  ,-13.7636  ,15.5254  ,-56.6871  ,5.47149e+08
5333  ,-12.0987  ,15.4232  ,-60.6046  ,5.46792e+08
3592  ,-37.6973  ,15.5628  ,-54.8813  ,5.46628e+08
