
Study name: Static 1(-Default-)
Plot type: Static displacement Displacement1
18:20, Sunday, February 15, 2026


X Title: Parametric Distance
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,2.2614      ,
2, 0.0029498   ,2.263       ,
3, 0.0058997   ,2.2647      ,
4, 0.0088495   ,2.2664      ,
5, 0.011799    ,2.2681      ,
6, 0.014749    ,2.2697      ,
7, 0.017699    ,2.2714      ,
8, 0.020649    ,2.2731      ,
9, 0.023599    ,2.2748      ,
10, 0.026549    ,2.2765      ,
11, 0.029498    ,2.2781      ,
12, 0.032448    ,2.2798      ,
13, 0.035398    ,2.2815      ,
14, 0.038348    ,2.2832      ,
15, 0.041298    ,2.2848      ,
16, 0.044248    ,2.2865      ,
17, 0.047198    ,2.2881      ,
18, 0.050147    ,2.2898      ,
19, 0.053097    ,2.2915      ,
20, 0.056047    ,2.2931      ,
21, 0.058997    ,2.2947      ,
22, 0.061947    ,2.2964      ,
23, 0.064897    ,2.298       ,
24, 0.067846    ,2.2996      ,
25, 0.070796    ,2.3012      ,
26, 0.073746    ,2.3028      ,
27, 0.076696    ,2.3044      ,
28, 0.079646    ,2.3059      ,
29, 0.082596    ,2.3075      ,
30, 0.085546    ,2.3091      ,
31, 0.088496    ,2.3106      ,
32, 0.091445    ,2.3121      ,
33, 0.094395    ,2.3136      ,
34, 0.097345    ,2.3151      ,
35, 0.10029     ,2.3166      ,
36, 0.10324     ,2.3181      ,
37, 0.10619     ,2.3195      ,
38, 0.10914     ,2.321       ,
39, 0.11209     ,2.3224      ,
40, 0.11504     ,2.3238      ,
41, 0.11799     ,2.3252      ,
42, 0.12094     ,2.3265      ,
43, 0.12389     ,2.3279      ,
44, 0.12684     ,2.3292      ,
45, 0.12979     ,2.3305      ,
46, 0.13274     ,2.3318      ,
47, 0.13569     ,2.333       ,
48, 0.13864     ,2.3343      ,
49, 0.14159     ,2.3355      ,
50, 0.14454     ,2.3367      ,
51, 0.14749     ,2.3379      ,
52, 0.15044     ,2.339       ,
53, 0.15339     ,2.3402      ,
54, 0.15634     ,2.3413      ,
55, 0.15929     ,2.3424      ,
56, 0.16224     ,2.3434      ,
57, 0.16519     ,2.3444      ,
58, 0.16814     ,2.3455      ,
59, 0.17109     ,2.3464      ,
60, 0.17404     ,2.3474      ,
61, 0.17699     ,2.3483      ,
62, 0.17994     ,2.3492      ,
63, 0.18289     ,2.3501      ,
64, 0.18584     ,2.3509      ,
65, 0.18879     ,2.3517      ,
66, 0.19174     ,2.3525      ,
67, 0.19469     ,2.3533      ,
68, 0.19764     ,2.354       ,
69, 0.20059     ,2.3547      ,
70, 0.20354     ,2.3554      ,
71, 0.20649     ,2.356       ,
72, 0.20944     ,2.3567      ,
73, 0.21239     ,2.3572      ,
74, 0.21534     ,2.3578      ,
75, 0.21829     ,2.3583      ,
76, 0.22124     ,2.3588      ,
77, 0.22419     ,2.3592      ,
78, 0.22714     ,2.3597      ,
79, 0.23009     ,2.3601      ,
80, 0.23304     ,2.3604      ,
81, 0.23599     ,2.3608      ,
82, 0.23894     ,2.3611      ,
83, 0.24189     ,2.3613      ,
84, 0.24484     ,2.3616      ,
