
Study name: Static 1(-Default-)
Plot type: Static displacement Displacement1
18:56, Sunday, February 15, 2026


X Title: Parametric Distance
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,0.21697     ,
2, 0.0029154   ,0.21712     ,
3, 0.005831    ,0.21727     ,
4, 0.0087463   ,0.21742     ,
5, 0.011662    ,0.21757     ,
6, 0.014577    ,0.21772     ,
7, 0.017493    ,0.21787     ,
8, 0.020408    ,0.21802     ,
9, 0.023324    ,0.21817     ,
10, 0.026239    ,0.21833     ,
11, 0.029155    ,0.21848     ,
12, 0.03207     ,0.21863     ,
13, 0.034985    ,0.21878     ,
14, 0.037901    ,0.21894     ,
15, 0.040816    ,0.21909     ,
16, 0.043732    ,0.21924     ,
17, 0.046647    ,0.21939     ,
18, 0.049563    ,0.21954     ,
19, 0.052478    ,0.21969     ,
20, 0.055394    ,0.21985     ,
21, 0.058309    ,0.22        ,
22, 0.061224    ,0.22014     ,
23, 0.06414     ,0.22029     ,
24, 0.067055    ,0.22044     ,
25, 0.069971    ,0.22059     ,
26, 0.072886    ,0.22074     ,
27, 0.075802    ,0.22088     ,
28, 0.078717    ,0.22103     ,
29, 0.081633    ,0.22117     ,
30, 0.084548    ,0.22131     ,
31, 0.087463    ,0.22145     ,
32, 0.090379    ,0.22159     ,
33, 0.093294    ,0.22173     ,
34, 0.09621     ,0.22187     ,
35, 0.099125    ,0.222       ,
36, 0.10204     ,0.22214     ,
37, 0.10496     ,0.22227     ,
38, 0.10787     ,0.2224      ,
39, 0.11079     ,0.22253     ,
40, 0.1137      ,0.22266     ,
41, 0.11662     ,0.22279     ,
42, 0.11953     ,0.22292     ,
43, 0.12245     ,0.22304     ,
44, 0.12536     ,0.22316     ,
45, 0.12828     ,0.22328     ,
46, 0.1312      ,0.2234      ,
47, 0.13411     ,0.22352     ,
48, 0.13703     ,0.22363     ,
49, 0.13994     ,0.22374     ,
50, 0.14286     ,0.22385     ,
51, 0.14577     ,0.22396     ,
52, 0.14869     ,0.22407     ,
53, 0.1516      ,0.22417     ,
54, 0.15452     ,0.22427     ,
55, 0.15743     ,0.22437     ,
56, 0.16035     ,0.22447     ,
57, 0.16327     ,0.22457     ,
58, 0.16618     ,0.22466     ,
59, 0.1691      ,0.22475     ,
60, 0.17201     ,0.22484     ,
61, 0.17493     ,0.22492     ,
62, 0.17784     ,0.22501     ,
63, 0.18076     ,0.22509     ,
64, 0.18367     ,0.22516     ,
65, 0.18659     ,0.22524     ,
66, 0.1895      ,0.22531     ,
67, 0.19242     ,0.22538     ,
68, 0.19534     ,0.22545     ,
69, 0.19825     ,0.22552     ,
70, 0.20117     ,0.22558     ,
71, 0.20408     ,0.22564     ,
72, 0.207       ,0.2257      ,
73, 0.20991     ,0.22575     ,
74, 0.21283     ,0.2258      ,
75, 0.21574     ,0.22585     ,
76, 0.21866     ,0.2259      ,
77, 0.22157     ,0.22594     ,
78, 0.22449     ,0.22598     ,
79, 0.22741     ,0.22602     ,
80, 0.23032     ,0.22606     ,
81, 0.23324     ,0.22609     ,
82, 0.23615     ,0.22612     ,
83, 0.23907     ,0.22615     ,
84, 0.24198     ,0.22617     ,
