
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
18:55, Sunday, February 15, 2026


X Title: Parametric Distance
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,2.8687E+07  ,
2, 0.0029154   ,2.7573E+07  ,
3, 0.005831    ,2.6361E+07  ,
4, 0.0087463   ,2.5159E+07  ,
5, 0.011662    ,2.4132E+07  ,
6, 0.014577    ,2.3077E+07  ,
7, 0.017493    ,2.2023E+07  ,
8, 0.020408    ,2.1146E+07  ,
9, 0.023324    ,2.0292E+07  ,
10, 0.026239    ,1.9403E+07  ,
11, 0.029155    ,1.8583E+07  ,
12, 0.03207     ,1.7842E+07  ,
13, 0.034985    ,1.7095E+07  ,
14, 0.037901    ,1.63E+07    ,
15, 0.040816    ,1.5569E+07  ,
16, 0.043732    ,1.4877E+07  ,
17, 0.046647    ,1.4189E+07  ,
18, 0.049563    ,1.3517E+07  ,
19, 0.052478    ,1.2863E+07  ,
20, 0.055394    ,1.22E+07    ,
21, 0.058309    ,1.1542E+07  ,
22, 0.061224    ,1.0893E+07  ,
23, 0.06414     ,1.0251E+07  ,
24, 0.067055    ,9.6294E+06  ,
25, 0.069971    ,9.0335E+06  ,
26, 0.072886    ,8.4324E+06  ,
27, 0.075802    ,7.8362E+06  ,
28, 0.078717    ,7.2398E+06  ,
29, 0.081633    ,6.6495E+06  ,
30, 0.084548    ,6.0838E+06  ,
31, 0.087463    ,5.5263E+06  ,
32, 0.090379    ,4.946E+06   ,
33, 0.093294    ,4.3788E+06  ,
34, 0.09621     ,3.8358E+06  ,
35, 0.099125    ,3.2987E+06  ,
36, 0.10204     ,2.7507E+06  ,
37, 0.10496     ,2.2218E+06  ,
38, 0.10787     ,1.6986E+06  ,
39, 0.11079     ,1.1665E+06  ,
40, 0.1137      ,6.7488E+05  ,
41, 0.11662     ,1.8961E+05  ,
42, 0.11953     ,3.1781E+05  ,
43, 0.12245     ,8.1192E+05  ,
44, 0.12536     ,1.3013E+06  ,
45, 0.12828     ,1.777E+06   ,
46, 0.1312      ,2.2358E+06  ,
47, 0.13411     ,2.7052E+06  ,
48, 0.13703     ,3.1403E+06  ,
49, 0.13994     ,3.5665E+06  ,
50, 0.14286     ,4.0149E+06  ,
51, 0.14577     ,4.4499E+06  ,
52, 0.14869     ,4.8538E+06  ,
53, 0.1516      ,5.2589E+06  ,
54, 0.15452     ,5.6728E+06  ,
55, 0.15743     ,6.0704E+06  ,
56, 0.16035     ,6.4364E+06  ,
57, 0.16327     ,6.7964E+06  ,
58, 0.16618     ,7.1851E+06  ,
59, 0.1691      ,7.5545E+06  ,
60, 0.17201     ,7.8921E+06  ,
61, 0.17493     ,8.2239E+06  ,
62, 0.17784     ,8.5454E+06  ,
63, 0.18076     ,8.8649E+06  ,
64, 0.18367     ,9.1733E+06  ,
65, 0.18659     ,9.4702E+06  ,
66, 0.1895      ,9.7483E+06  ,
67, 0.19242     ,1.0035E+07  ,
68, 0.19534     ,1.0305E+07  ,
69, 0.19825     ,1.0555E+07  ,
70, 0.20117     ,1.0808E+07  ,
71, 0.20408     ,1.1058E+07  ,
72, 0.207       ,1.1262E+07  ,
