
Study name: Static 1(-Default-)
Plot type: Static displacement Displacement1
18:57, Sunday, February 15, 2026


X Title: Node
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,0.21183     ,
2, 1,0.2404      ,
3, 2,0.22699     ,
4, 3,0.054985    ,
5, 4,0.2394      ,
6, 5,0.23841     ,
7, 6,0.23742     ,
8, 7,0.23642     ,
9, 8,0.23543     ,
10, 9,0.23444     ,
11, 10,0.23345     ,
12, 11,0.23246     ,
13, 12,0.23148     ,
14, 13,0.23049     ,
15, 14,0.22951     ,
16, 15,0.2286      ,
17, 16,0.22788     ,
18, 17,0.22737     ,
19, 18,0.21136     ,
20, 19,0.21069     ,
21, 20,0.20976     ,
22, 21,0.20861     ,
23, 22,0.2074      ,
24, 23,0.20621     ,
25, 24,0.20504     ,
26, 25,0.20388     ,
27, 26,0.20274     ,
28, 27,0.20161     ,
29, 28,0.20048     ,
30, 29,0.19936     ,
31, 30,0.19825     ,
32, 31,0.19715     ,
33, 32,0.19605     ,
34, 33,0.19495     ,
35, 34,0.19386     ,
36, 35,0.19278     ,
37, 36,0.1917      ,
38, 37,0.19062     ,
39, 38,0.18954     ,
40, 39,0.18847     ,
41, 40,0.1874      ,
42, 41,0.18633     ,
43, 42,0.18527     ,
44, 43,0.1842      ,
45, 44,0.18314     ,
46, 45,0.18209     ,
47, 46,0.18103     ,
48, 47,0.17997     ,
49, 48,0.17892     ,
50, 49,0.17787     ,
51, 50,0.17682     ,
52, 51,0.17577     ,
53, 52,0.17473     ,
54, 53,0.17368     ,
55, 54,0.17264     ,
56, 55,0.17159     ,
57, 56,0.17055     ,
58, 57,0.16951     ,
59, 58,0.16847     ,
60, 59,0.16743     ,
61, 60,0.1664      ,
62, 61,0.16536     ,
63, 62,0.16433     ,
64, 63,0.16329     ,
65, 64,0.16226     ,
66, 65,0.16123     ,
67, 66,0.1602      ,
68, 67,0.15917     ,
69, 68,0.15814     ,
70, 69,0.15712     ,
71, 70,0.15609     ,
72, 71,0.15507     ,
73, 72,0.15404     ,
74, 73,0.15302     ,
75, 74,0.152       ,
76, 75,0.15098     ,
77, 76,0.14996     ,
78, 77,0.14894     ,
79, 78,0.14792     ,
80, 79,0.14691     ,
81, 80,0.14589     ,
82, 81,0.14488     ,
83, 82,0.14387     ,
84, 83,0.14286     ,
85, 84,0.14185     ,
86, 85,0.14084     ,
87, 86,0.13983     ,
88, 87,0.13882     ,
89, 88,0.13782     ,
90, 89,0.13682     ,
91, 90,0.13581     ,
92, 91,0.13481     ,
93, 92,0.13381     ,
94, 93,0.13282     ,
95, 94,0.13182     ,
96, 95,0.13083     ,
97, 96,0.12983     ,
98, 97,0.12884     ,
99, 98,0.12785     ,
100, 99,0.12686     ,
101, 100,0.12588     ,
102, 101,0.12489     ,
103, 102,0.12391     ,
104, 103,0.12293     ,
105, 104,0.12195     ,
106, 105,0.12097     ,
107, 106,0.12        ,
108, 107,0.11902     ,
109, 108,0.11805     ,
110, 109,0.11708     ,
111, 110,0.11612     ,
112, 111,0.11515     ,
113, 112,0.11419     ,
114, 113,0.11323     ,
115, 114,0.11227     ,
116, 115,0.11132     ,
117, 116,0.11037     ,
