
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
18:55, Sunday, February 15, 2026


X Title: Node
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,5.4168E+07  ,
2, 1,2.2466E+06  ,
3, 2,1.3214E+07  ,
4, 3,5.8857E+07  ,
5, 4,1.6796E+06  ,
6, 5,1.1347E+06  ,
7, 6,6.3784E+05  ,
8, 7,4.227E+05   ,
9, 8,7.9441E+05  ,
10, 9,1.3555E+06  ,
11, 10,1.9939E+06  ,
12, 11,2.701E+06   ,
13, 12,3.5383E+06  ,
14, 13,4.556E+06   ,
15, 14,5.8822E+06  ,
16, 15,7.6504E+06  ,
17, 16,9.5796E+06  ,
18, 17,1.1435E+07  ,
19, 18,5.3873E+07  ,
20, 19,5.4744E+07  ,
21, 20,5.5334E+07  ,
22, 21,5.4426E+07  ,
23, 22,5.2218E+07  ,
24, 23,4.9495E+07  ,
25, 24,4.6837E+07  ,
26, 25,4.4319E+07  ,
27, 26,4.1914E+07  ,
28, 27,3.99E+07    ,
29, 28,3.8005E+07  ,
30, 29,3.6353E+07  ,
31, 30,3.4906E+07  ,
32, 31,3.3573E+07  ,
33, 32,3.2395E+07  ,
34, 33,3.1322E+07  ,
35, 34,3.0358E+07  ,
36, 35,2.9458E+07  ,
37, 36,2.8629E+07  ,
38, 37,2.7875E+07  ,
39, 38,2.7181E+07  ,
40, 39,2.6535E+07  ,
41, 40,2.5926E+07  ,
42, 41,2.5391E+07  ,
43, 42,2.4876E+07  ,
44, 43,2.4375E+07  ,
45, 44,2.3924E+07  ,
46, 45,2.3515E+07  ,
47, 46,2.3109E+07  ,
48, 47,2.2751E+07  ,
49, 48,2.2411E+07  ,
50, 49,2.2122E+07  ,
51, 50,2.1801E+07  ,
52, 51,2.155E+07   ,
53, 52,2.1285E+07  ,
54, 53,2.1071E+07  ,
55, 54,2.0857E+07  ,
56, 55,2.0681E+07  ,
57, 56,2.0499E+07  ,
58, 57,2.0333E+07  ,
59, 58,2.0195E+07  ,
60, 59,2.0073E+07  ,
61, 60,1.9934E+07  ,
62, 61,1.9828E+07  ,
63, 62,1.9728E+07  ,
64, 63,1.9633E+07  ,
65, 64,1.9549E+07  ,
66, 65,1.9498E+07  ,
67, 66,1.943E+07   ,
68, 67,1.9366E+07  ,
69, 68,1.9319E+07  ,
70, 69,1.927E+07   ,
71, 70,1.924E+07   ,
72, 71,1.9216E+07  ,
73, 72,1.9186E+07  ,
74, 73,1.9168E+07  ,
75, 74,1.9116E+07  ,
76, 75,1.9093E+07  ,
77, 76,1.9073E+07  ,
78, 77,1.9063E+07  ,
79, 78,1.9054E+07  ,
80, 79,1.9047E+07  ,
81, 80,1.9033E+07  ,
82, 81,1.9019E+07  ,
83, 82,1.9003E+07  ,
84, 83,1.9018E+07  ,
85, 84,1.9018E+07  ,
86, 85,1.9017E+07  ,
87, 86,1.9006E+07  ,
88, 87,1.9017E+07  ,
89, 88,1.9001E+07  ,
90, 89,1.9006E+07  ,
91, 90,1.9008E+07  ,
92, 91,1.8998E+07  ,
93, 92,1.8997E+07  ,
94, 93,1.9006E+07  ,
95, 94,1.8991E+07  ,
