18:34, Sunday, February 15, 2026
Study name:Static 1
Units: N/m^2
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
32691  ,96.5709  ,41.3847  ,-72.5916  ,1.40018e+08
83016  ,97.3571  ,41.1897  ,-63.0479  ,1.39953e+08
85542  ,97.3995  ,41.2872  ,-63.0648  ,1.39925e+08
25097  ,96.5705  ,41.1886  ,-72.5917  ,1.39912e+08
23420  ,97.4839  ,41.4822  ,-63.0998  ,1.39888e+08
797  ,96.6155  ,41.2872  ,-72.5819  ,1.39885e+08
727  ,97.3145  ,41.2872  ,-63.0314  ,1.39868e+08
7091  ,97.5676  ,41.4822  ,-63.1362  ,1.39864e+08
962  ,97.3995  ,41.0922  ,-63.0648  ,1.39854e+08
86742  ,97.3571  ,41.3847  ,-63.0479  ,1.39854e+08
50502  ,97.5258  ,41.3847  ,-63.1178  ,1.39845e+08
25099  ,96.5262  ,41.2872  ,-72.6009  ,1.39835e+08
942  ,96.5254  ,41.0901  ,-72.6011  ,1.39825e+08
83008  ,97.3145  ,41.0922  ,-63.0314  ,1.39815e+08
53941  ,96.6155  ,41.4822  ,-72.5819  ,1.39804e+08
47723  ,97.4418  ,41.3847  ,-63.0821  ,1.39748e+08
47754  ,97.4418  ,41.1897  ,-63.0821  ,1.39715e+08
41417  ,96.6603  ,41.1888  ,-72.5717  ,1.39711e+08
728  ,97.4839  ,41.2872  ,-63.0998  ,1.39702e+08
25085  ,96.6154  ,41.0902  ,-72.5819  ,1.39677e+08
7244  ,96.5262  ,41.4822  ,-72.6009  ,1.39666e+08
71259  ,96.4361  ,41.0911  ,-72.6184  ,1.39652e+08
50013  ,97.2718  ,41.3847  ,-63.0153  ,1.39650e+08
7090  ,97.3995  ,41.4822  ,-63.0648  ,1.39647e+08
47247  ,96.66  ,41.3847  ,-72.5717  ,1.39644e+08
47733  ,97.2718  ,41.1897  ,-63.0153  ,1.39638e+08
25098  ,96.481  ,41.1886  ,-72.6099  ,1.39634e+08
80563  ,97.6092  ,41.3847  ,-63.155  ,1.39633e+08
87424  ,97.6092  ,41.1897  ,-63.155  ,1.39610e+08
49469  ,96.7491  ,41.1888  ,-72.5502  ,1.39608e+08
49169  ,97.4839  ,41.0922  ,-63.0998  ,1.39602e+08
41387  ,96.7044  ,41.2872  ,-72.5612  ,1.39584e+08
88417  ,97.5258  ,41.1897  ,-63.1178  ,1.39562e+08
65031  ,97.5676  ,41.2872  ,-63.1362  ,1.39558e+08
15312  ,97.3145  ,41.4822  ,-63.0314  ,1.39549e+08
71260  ,96.3916  ,41.1897  ,-72.6264  ,1.39538e+08
964  ,97.5676  ,41.0922  ,-63.1362  ,1.39532e+08
1043  ,96.705  ,41.0904  ,-72.5611  ,1.39494e+08
7243  ,96.7044  ,41.4822  ,-72.5612  ,1.39491e+08
49168  ,97.4565  ,40.9391  ,-63.0882  ,1.39486e+08
25087  ,96.6597  ,40.9354  ,-72.5718  ,1.39479e+08
83042  ,97.2289  ,41.2872  ,-62.9996  ,1.39462e+08
32690  ,96.4814  ,41.3847  ,-72.6098  ,1.39434e+08
1048  ,96.3466  ,41.0922  ,-72.6341  ,1.39432e+08
37035  ,96.4365  ,41.4822  ,-72.6183  ,1.39415e+08
796  ,96.793  ,41.2872  ,-72.5389  ,1.39399e+08
18533  ,96.3916  ,41.3847  ,-72.6264  ,1.39393e+08
729  ,97.6506  ,41.2872  ,-63.1742  ,1.39385e+08
7089  ,97.2289  ,41.4822  ,-62.9996  ,1.39372e+08
59168  ,97.2885  ,40.9414  ,-63.0215  ,1.39362e+08
41367  ,96.7488  ,41.3847  ,-72.5502  ,1.39360e+08
15313  ,97.2918  ,41.6347  ,-63.0228  ,1.39354e+08
61020  ,96.8371  ,41.3847  ,-72.5271  ,1.39341e+08
41717  ,97.6506  ,41.4822  ,-63.1742  ,1.39335e+08
41719  ,97.5456  ,41.6388  ,-63.1265  ,1.39333e+08
15719  ,96.7628  ,41.6322  ,-72.5467  ,1.39332e+08
49483  ,96.4694  ,40.9385  ,-72.6121  ,1.39326e+08
88644  ,97.1859  ,41.3847  ,-62.9842  ,1.39323e+08
53943  ,96.5703  ,41.6313  ,-72.5917  ,1.39306e+08
18532  ,96.3466  ,41.2872  ,-72.6341  ,1.39285e+08
51087  ,96.7933  ,41.0913  ,-72.5388  ,1.39282e+08
960  ,97.2289  ,41.0922  ,-62.9996  ,1.39281e+08
45983  ,97.4617  ,41.6388  ,-63.0904  ,1.39230e+08
798  ,96.4365  ,41.2872  ,-72.6183  ,1.39225e+08
83025  ,96.3015  ,41.1897  ,-72.6413  ,1.39216e+08
14070  ,96.3015  ,41.3847  ,-72.6413  ,1.39196e+08
15718  ,96.793  ,41.4822  ,-72.5389  ,1.39162e+08
55160  ,96.8371  ,41.1897  ,-72.5271  ,1.39126e+08
36361  ,97.6506  ,41.0922  ,-63.1742  ,1.39111e+08
