
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
18:35, Sunday, February 15, 2026


X Title: Parametric Distance
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,1.0979E+08  ,
2, 0.0029154   ,1.119E+08   ,
3, 0.005831    ,1.1392E+08  ,
4, 0.0087463   ,1.1624E+08  ,
5, 0.011662    ,1.1832E+08  ,
6, 0.014577    ,1.2057E+08  ,
7, 0.017493    ,1.2272E+08  ,
8, 0.020408    ,1.2453E+08  ,
9, 0.023324    ,1.2631E+08  ,
10, 0.026239    ,1.2828E+08  ,
11, 0.029155    ,1.2994E+08  ,
12, 0.03207     ,1.3137E+08  ,
13, 0.034985    ,1.3298E+08  ,
14, 0.037901    ,1.3442E+08  ,
15, 0.040816    ,1.3555E+08  ,
16, 0.043732    ,1.3673E+08  ,
17, 0.046647    ,1.3789E+08  ,
18, 0.049563    ,1.3844E+08  ,
19, 0.052478    ,1.3894E+08  ,
20, 0.055394    ,1.3946E+08  ,
21, 0.058309    ,1.3987E+08  ,
22, 0.061224    ,1.3993E+08  ,
23, 0.06414     ,1.397E+08   ,
24, 0.067055    ,1.3956E+08  ,
25, 0.069971    ,1.3939E+08  ,
26, 0.072886    ,1.3858E+08  ,
27, 0.075802    ,1.3754E+08  ,
28, 0.078717    ,1.3692E+08  ,
29, 0.081633    ,1.3597E+08  ,
30, 0.084548    ,1.3465E+08  ,
31, 0.087463    ,1.3334E+08  ,
32, 0.090379    ,1.3167E+08  ,
33, 0.093294    ,1.2979E+08  ,
34, 0.09621     ,1.2788E+08  ,
35, 0.099125    ,1.2603E+08  ,
36, 0.10204     ,1.2366E+08  ,
37, 0.10496     ,1.2125E+08  ,
38, 0.10787     ,1.1871E+08  ,
39, 0.11079     ,1.1596E+08  ,
40, 0.1137      ,1.1338E+08  ,
41, 0.11662     ,1.1075E+08  ,
42, 0.11953     ,1.0753E+08  ,
43, 0.12245     ,1.0434E+08  ,
44, 0.12536     ,1.0121E+08  ,
45, 0.12828     ,9.7924E+07  ,
46, 0.1312      ,9.4789E+07  ,
47, 0.13411     ,9.1625E+07  ,
48, 0.13703     ,8.8121E+07  ,
49, 0.13994     ,8.4886E+07  ,
50, 0.14286     ,8.1411E+07  ,
51, 0.14577     ,7.803E+07   ,
52, 0.14869     ,7.4856E+07  ,
53, 0.1516      ,7.1736E+07  ,
54, 0.15452     ,6.8465E+07  ,
55, 0.15743     ,6.5551E+07  ,
56, 0.16035     ,6.2919E+07  ,
57, 0.16327     ,6.0682E+07  ,
58, 0.16618     ,5.8183E+07  ,
59, 0.1691      ,5.6258E+07  ,
60, 0.17201     ,5.4506E+07  ,
61, 0.17493     ,5.3393E+07  ,
62, 0.17784     ,5.2354E+07  ,
63, 0.18076     ,5.1963E+07  ,
64, 0.18367     ,5.1672E+07  ,
65, 0.18659     ,5.2139E+07  ,
66, 0.1895      ,5.277E+07   ,
67, 0.19242     ,5.3823E+07  ,
68, 0.19534     ,5.4905E+07  ,
69, 0.19825     ,5.6317E+07  ,
70, 0.20117     ,5.7797E+07  ,
71, 0.20408     ,5.988E+07   ,
72, 0.207       ,6.182E+07   ,
