
Study name: Static 1(-Default-)
Plot type: Static displacement Displacement1
18:36, Sunday, February 15, 2026


X Title: Node
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,0.2086      ,
2, 1,0.24659     ,
3, 2,0.23407     ,
4, 3,0.054985    ,
5, 4,0.24564     ,
6, 5,0.24469     ,
7, 6,0.24375     ,
8, 7,0.24281     ,
9, 8,0.24188     ,
10, 9,0.24096     ,
11, 10,0.24005     ,
12, 11,0.23915     ,
13, 12,0.23825     ,
14, 13,0.23737     ,
15, 14,0.23649     ,
16, 15,0.23565     ,
17, 16,0.23497     ,
18, 17,0.23446     ,
19, 18,0.20822     ,
20, 19,0.20769     ,
21, 20,0.20696     ,
22, 21,0.20605     ,
23, 22,0.20507     ,
24, 23,0.20409     ,
25, 24,0.20311     ,
26, 25,0.20212     ,
27, 26,0.20113     ,
28, 27,0.20013     ,
29, 28,0.19913     ,
30, 29,0.19812     ,
31, 30,0.19711     ,
32, 31,0.19611     ,
33, 32,0.19509     ,
34, 33,0.19408     ,
35, 34,0.19306     ,
36, 35,0.19205     ,
37, 36,0.19103     ,
38, 37,0.19001     ,
39, 38,0.18898     ,
40, 39,0.18796     ,
41, 40,0.18694     ,
42, 41,0.18591     ,
43, 42,0.18489     ,
44, 43,0.18386     ,
45, 44,0.18283     ,
46, 45,0.1818      ,
47, 46,0.18078     ,
48, 47,0.17975     ,
49, 48,0.17872     ,
50, 49,0.17769     ,
51, 50,0.17666     ,
52, 51,0.17563     ,
53, 52,0.1746      ,
54, 53,0.17357     ,
55, 54,0.17253     ,
56, 55,0.1715      ,
57, 56,0.17047     ,
58, 57,0.16944     ,
59, 58,0.16841     ,
60, 59,0.16738     ,
61, 60,0.16635     ,
62, 61,0.16532     ,
63, 62,0.16429     ,
64, 63,0.16326     ,
65, 64,0.16224     ,
66, 65,0.16121     ,
67, 66,0.16018     ,
68, 67,0.15916     ,
69, 68,0.15813     ,
70, 69,0.15711     ,
71, 70,0.15608     ,
72, 71,0.15506     ,
73, 72,0.15404     ,
74, 73,0.15301     ,
75, 74,0.15199     ,
76, 75,0.15097     ,
77, 76,0.14996     ,
78, 77,0.14894     ,
79, 78,0.14792     ,
80, 79,0.14691     ,
81, 80,0.14589     ,
82, 81,0.14488     ,
83, 82,0.14387     ,
84, 83,0.14285     ,
85, 84,0.14184     ,
86, 85,0.14084     ,
87, 86,0.13983     ,
88, 87,0.13882     ,
89, 88,0.13782     ,
90, 89,0.13681     ,
91, 90,0.13581     ,
92, 91,0.13481     ,
93, 92,0.13381     ,
94, 93,0.13281     ,
95, 94,0.13182     ,
96, 95,0.13082     ,
97, 96,0.12983     ,
98, 97,0.12884     ,
99, 98,0.12785     ,
100, 99,0.12686     ,
101, 100,0.12587     ,
102, 101,0.12489     ,
103, 102,0.12391     ,
104, 103,0.12292     ,
105, 104,0.12194     ,
106, 105,0.12097     ,
107, 106,0.11999     ,
108, 107,0.11902     ,
109, 108,0.11805     ,
110, 109,0.11708     ,
111, 110,0.11611     ,
112, 111,0.11515     ,
113, 112,0.11419     ,
114, 113,0.11323     ,
115, 114,0.11227     ,
116, 115,0.11131     ,
117, 116,0.11036     ,
