
Study name: Static 1(-Default-)
Plot type: Static nodal stress Stress1
18:35, Sunday, February 15, 2026


X Title: Node
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,5.2325E+07  ,
2, 1,5.5262E+07  ,
3, 2,8.6813E+07  ,
4, 3,5.8858E+07  ,
5, 4,5.0458E+07  ,
6, 5,4.6348E+07  ,
7, 6,4.296E+07   ,
8, 7,4.0393E+07  ,
9, 8,3.8714E+07  ,
10, 9,3.8158E+07  ,
11, 10,3.8772E+07  ,
12, 11,4.0641E+07  ,
13, 12,4.3421E+07  ,
14, 13,4.7079E+07  ,
15, 14,5.1011E+07  ,
16, 15,5.55E+07    ,
17, 16,6.1954E+07  ,
18, 17,7.2177E+07  ,
19, 18,4.415E+07   ,
20, 19,3.5505E+07  ,
21, 20,2.6975E+07  ,
22, 21,1.9955E+07  ,
23, 22,1.497E+07   ,
24, 23,1.1683E+07  ,
25, 24,9.4199E+06  ,
26, 25,8.0876E+06  ,
27, 26,7.383E+06   ,
28, 27,7.1473E+06  ,
29, 28,7.3391E+06  ,
30, 29,7.6639E+06  ,
31, 30,8.1059E+06  ,
32, 31,8.6175E+06  ,
33, 32,9.1444E+06  ,
34, 33,9.68E+06    ,
35, 34,1.0188E+07  ,
36, 35,1.0669E+07  ,
37, 36,1.1153E+07  ,
38, 37,1.1616E+07  ,
39, 38,1.2061E+07  ,
40, 39,1.248E+07   ,
41, 40,1.2893E+07  ,
42, 41,1.3293E+07  ,
43, 42,1.3673E+07  ,
44, 43,1.4013E+07  ,
45, 44,1.4365E+07  ,
46, 45,1.47E+07    ,
47, 46,1.4995E+07  ,
48, 47,1.5302E+07  ,
49, 48,1.558E+07   ,
50, 49,1.5869E+07  ,
51, 50,1.6085E+07  ,
52, 51,1.6347E+07  ,
53, 52,1.6562E+07  ,
54, 53,1.6781E+07  ,
55, 54,1.6975E+07  ,
56, 55,1.7169E+07  ,
57, 56,1.7338E+07  ,
58, 57,1.7496E+07  ,
59, 58,1.7649E+07  ,
60, 59,1.7797E+07  ,
61, 60,1.791E+07   ,
62, 61,1.8028E+07  ,
63, 62,1.8133E+07  ,
64, 63,1.8223E+07  ,
65, 64,1.831E+07   ,
66, 65,1.8411E+07  ,
67, 66,1.8482E+07  ,
68, 67,1.8541E+07  ,
69, 68,1.8606E+07  ,
70, 69,1.8657E+07  ,
71, 70,1.8714E+07  ,
72, 71,1.8769E+07  ,
73, 72,1.8809E+07  ,
74, 73,1.8852E+07  ,
75, 74,1.8857E+07  ,
76, 75,1.888E+07   ,
77, 76,1.8902E+07  ,
78, 77,1.8928E+07  ,
79, 78,1.895E+07   ,
80, 79,1.897E+07   ,
81, 80,1.898E+07   ,
82, 81,1.8986E+07  ,
83, 82,1.8988E+07  ,
84, 83,1.9016E+07  ,
85, 84,1.9027E+07  ,
86, 85,1.9036E+07  ,
87, 86,1.9032E+07  ,
88, 87,1.9048E+07  ,
89, 88,1.9037E+07  ,
90, 89,1.9045E+07  ,
91, 90,1.9049E+07  ,
92, 91,1.9041E+07  ,
93, 92,1.9041E+07  ,
94, 93,1.9051E+07  ,
95, 94,1.9036E+07  ,
