18:42, Sunday, February 15, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
49626  ,102.043  ,45.165  ,-98.9993  ,3.97898e-01
2237  ,101.94  ,45.1945  ,-100.037  ,3.97896e-01
4261  ,102.212  ,44.9537  ,-98.0532  ,3.97895e-01
49604  ,102.109  ,44.8867  ,-99.5279  ,3.97893e-01
49625  ,102.005  ,45.3504  ,-98.516  ,3.97882e-01
49627  ,102.242  ,44.765  ,-98.5357  ,3.97879e-01
49631  ,101.864  ,45.4689  ,-99.5076  ,3.97864e-01
49603  ,102.166  ,44.6088  ,-100.057  ,3.97853e-01
59407  ,101.959  ,45.5419  ,-98.031  ,3.97848e-01
5632  ,102.269  ,44.5749  ,-99.0179  ,3.97847e-01
58646  ,102.416  ,44.3828  ,-98.0711  ,3.97798e-01
5639  ,101.78  ,45.7396  ,-98.9775  ,3.97797e-01
55172  ,101.677  ,45.7648  ,-100.014  ,3.97789e-01
49606  ,102.316  ,44.2938  ,-99.546  ,3.97772e-01
58648  ,102.435  ,44.1901  ,-98.5526  ,3.97736e-01
19817  ,101.727  ,45.9272  ,-98.4917  ,3.97729e-01
19811  ,101.585  ,46.0311  ,-99.4831  ,3.97685e-01
2238  ,102.355  ,44.01  ,-100.073  ,3.97664e-01
4260  ,101.669  ,46.1127  ,-98.0057  ,3.97643e-01
49714  ,102.466  ,43.9402  ,-99.0243  ,3.97634e-01
4262  ,102.586  ,43.8005  ,-98.0859  ,3.97564e-01
39119  ,101.482  ,46.297  ,-98.9472  ,3.97543e-01
2236  ,101.379  ,46.3174  ,-99.988  ,3.97530e-01
27307  ,102.495  ,43.6534  ,-99.5507  ,3.97487e-01
51538  ,102.607  ,43.5479  ,-98.5567  ,3.97425e-01
39139  ,101.417  ,46.4781  ,-98.4605  ,3.97423e-01
39109  ,101.269  ,46.5783  ,-99.4513  ,3.97350e-01
27305  ,102.507  ,43.4004  ,-100.087  ,3.97332e-01
51536  ,102.697  ,43.3257  ,-98.0956  ,3.97281e-01
39140  ,101.343  ,46.6641  ,-97.9772  ,3.97280e-01
5649  ,102.622  ,43.2937  ,-99.027  ,3.97261e-01
5638  ,101.15  ,46.8343  ,-98.914  ,3.97133e-01
39108  ,101.048  ,46.8501  ,-99.9589  ,3.97118e-01
51539  ,102.705  ,43.0703  ,-98.5653  ,3.97097e-01
27306  ,102.624  ,43.0387  ,-99.562  ,3.97073e-01
39133  ,101.068  ,47.0153  ,-98.43  ,3.96954e-01
4263  ,102.784  ,42.846  ,-98.1032  ,3.96914e-01
39110  ,100.921  ,47.1007  ,-99.4209  ,3.96863e-01
62027  ,102.73  ,42.7816  ,-98.8376  ,3.96860e-01
2239  ,102.619  ,42.7825  ,-100.096  ,3.96860e-01
62026  ,102.708  ,42.7398  ,-99.1597  ,3.96824e-01
4259  ,100.983  ,47.1935  ,-97.9456  ,3.96756e-01
17190  ,102.802  ,42.5562  ,-98.375  ,3.96655e-01
17188  ,102.832  ,42.5031  ,-98.1074  ,3.96603e-01
57055  ,102.696  ,42.4825  ,-99.6934  ,3.96585e-01
39132  ,100.786  ,47.3467  ,-98.8822  ,3.96571e-01
2235  ,100.683  ,47.3609  ,-99.9271  ,3.96552e-01
5650  ,102.811  ,42.2654  ,-98.646  ,3.96367e-01
39131  ,100.693  ,47.5195  ,-98.3972  ,3.96338e-01
62025  ,102.787  ,42.2234  ,-98.9678  ,3.96324e-01
17189  ,102.84  ,42.2121  ,-98.3783  ,3.96310e-01
49628  ,101.621  ,45.2952  ,-98.3262  ,3.96284e-01
5651  ,102.763  ,42.1813  ,-99.2896  ,3.96279e-01
49629  ,101.649  ,45.1058  ,-98.8086  ,3.96259e-01
57054  ,102.694  ,42.1587  ,-100.103  ,3.96253e-01
13  ,102.868  ,42.1587  ,-98.1105  ,3.96252e-01
19818  ,101.405  ,45.6882  ,-98.7884  ,3.96233e-01
49691  ,100.541  ,47.6009  ,-99.3877  ,3.96222e-01
19799  ,101.349  ,45.8747  ,-98.3025  ,3.96153e-01
19814  ,101.189  ,46.1124  ,-98.9503  ,3.96136e-01
62149  ,100.589  ,47.6985  ,-97.9112  ,3.96072e-01
19801  ,101.133  ,46.2989  ,-98.4644  ,3.96059e-01
27308  ,102.152  ,43.4695  ,-99.7868  ,3.96016e-01
19812  ,100.988  ,46.4012  ,-99.4555  ,3.96002e-01
15371  ,102.865  ,41.8684  ,-98.3805  ,3.95928e-01
57056  ,102.751  ,41.8567  ,-99.6982  ,3.95916e-01
55165  ,102.892  ,41.8149  ,-98.1126  ,3.95864e-01
5637  ,100.39  ,47.8351  ,-98.8476  ,3.95855e-01
49690  ,100.288  ,47.8478  ,-99.8925  ,3.95833e-01
15360  ,102.286  ,43.1114  ,-99.2636  ,3.95823e-01
39112  ,100.874  ,46.6597  ,-98.9186  ,3.95800e-01
51537  ,102.304  ,43.3179  ,-98.0612  ,3.95797e-01
17176  ,102.835  ,41.7055  ,-98.8275  ,3.95735e-01
60058  ,102.808  ,41.6633  ,-99.1491  ,3.95684e-01
51540  ,102.322  ,43.0645  ,-98.5318  ,3.95652e-01
27309  ,102.285  ,42.8558  ,-99.7984  ,3.95625e-01
49601  ,101.532  ,44.7177  ,-100.001  ,3.95619e-01
60751  ,101.588  ,45.011  ,-97.9985  ,3.95613e-01
58647  ,101.828  ,44.4096  ,-98.0195  ,3.95611e-01
39134  ,100.79  ,46.8393  ,-98.4344  ,3.95609e-01
49605  ,101.697  ,44.4079  ,-99.4918  ,3.95603e-01
47043  ,101.856  ,44.2202  ,-98.5019  ,3.95594e-01
47042  ,101.616  ,44.8216  ,-98.4809  ,3.95591e-01
49630  ,101.315  ,45.2317  ,-99.9823  ,3.95579e-01
46162  ,101.453  ,44.9903  ,-99.4716  ,3.95560e-01
27441  ,100.279  ,48.0079  ,-98.361  ,3.95553e-01
19810  ,101.235  ,45.5043  ,-99.4526  ,3.95525e-01
2240  ,102.729  ,41.5315  ,-100.106  ,3.95516e-01
49602  ,101.74  ,44.1255  ,-100.02  ,3.95516e-01
39111  ,100.64  ,46.923  ,-99.4251  ,3.95506e-01
49598  ,102.403  ,42.8406  ,-98.0699  ,3.95481e-01
17187  ,102.539  ,42.4772  ,-98.0818  ,3.95475e-01
39129  ,101.316  ,45.5905  ,-97.9748  ,3.95474e-01
55267  ,102.015  ,43.833  ,-98.0359  ,3.95460e-01
47046  ,101.75  ,44.2732  ,-99.0194  ,3.95445e-01
1094  ,102.904  ,41.4704  ,-98.1137  ,3.95437e-01
37703  ,100.13  ,48.0754  ,-99.3518  ,3.95428e-01
19809  ,101.035  ,45.7932  ,-99.9578  ,3.95384e-01
57825  ,101.793  ,43.9908  ,-99.5471  ,3.95360e-01
27316  ,102.356  ,42.5552  ,-99.3949  ,3.95334e-01
49715  ,102.032  ,43.5796  ,-98.5064  ,3.95310e-01
55259  ,101.891  ,43.5882  ,-100.033  ,3.95294e-01
15363  ,102.779  ,41.3379  ,-99.5563  ,3.95266e-01
4258  ,100.164  ,48.1772  ,-97.874  ,3.95229e-01
17177  ,102.867  ,41.3074  ,-98.5601  ,3.95224e-01
19800  ,101.042  ,46.0908  ,-97.9508  ,3.95210e-01
49599  ,102.417  ,42.5503  ,-98.3413  ,3.95209e-01
15370  ,102.553  ,42.1869  ,-98.3532  ,3.95207e-01
27302  ,101.926  ,43.6327  ,-99.0239  ,3.95161e-01
39135  ,100.494  ,47.1601  ,-98.8854  ,3.95151e-01
17186  ,102.581  ,42.1336  ,-98.0855  ,3.95150e-01
55164  ,100.755  ,46.2757  ,-99.9333  ,3.95074e-01
5652  ,102.827  ,41.1443  ,-99.0062  ,3.95002e-01
15357  ,102.291  ,42.6157  ,-98.8318  ,3.94994e-01
46142  ,99.9652  ,48.2975  ,-98.8105  ,3.94986e-01
2234  ,99.8627  ,48.3087  ,-99.8553  ,3.94961e-01
55260  ,102.024  ,42.9744  ,-100.044  ,3.94904e-01
62150  ,102.901  ,40.9842  ,-98.1135  ,3.94771e-01
49618  ,100.698  ,46.6313  ,-97.9207  ,3.94753e-01
15369  ,102.6  ,41.7894  ,-98.0871  ,3.94742e-01
8039  ,101.029  ,45.6367  ,-98.5993  ,3.94669e-01
58628  ,102.724  ,40.9033  ,-100.106  ,3.94654e-01
15359  ,101.966  ,43.1953  ,-98.8895  ,3.94632e-01
37696  ,99.8433  ,48.4604  ,-98.3229  ,3.94628e-01
55163  ,100.407  ,46.7975  ,-99.9029  ,3.94573e-01
19797  ,100.813  ,46.0609  ,-98.7612  ,3.94567e-01
15374  ,102.385  ,42.1015  ,-98.6413  ,3.94563e-01
44327  ,102.856  ,40.8212  ,-98.5592  ,3.94534e-01
27313  ,102.361  ,42.0595  ,-98.9631  ,3.94520e-01
21701  ,99.6905  ,48.5238  ,-99.3133  ,3.94481e-01
8041  ,100.597  ,46.4851  ,-98.9231  ,3.94471e-01
55263  ,102.107  ,42.4223  ,-100.052  ,3.94434e-01
7353  ,101.95  ,42.9291  ,-99.5002  ,3.94389e-01
55268  ,102.763  ,40.7099  ,-99.5548  ,3.94366e-01
55639  ,99.709  ,48.6276  ,-97.8342  ,3.94228e-01
49620  ,100.363  ,47.0912  ,-97.8914  ,3.94204e-01
27314  ,102.178  ,42.1217  ,-99.6482  ,3.94151e-01
15365  ,102.344  ,41.7345  ,-99.3713  ,3.94143e-01
15372  ,102.432  ,41.704  ,-98.3752  ,3.94102e-01
4647  ,102.023  ,42.8352  ,-98.0366  ,3.94049e-01
1114  ,102.295  ,42.1084  ,-98.0604  ,3.94048e-01
49597  ,102.159  ,42.4718  ,-98.0485  ,3.94046e-01
1095  ,102.875  ,40.4986  ,-98.1112  ,3.94033e-01
