
Study name: Static 2(-Default-)
Plot type: Static displacement Displacement1
18:46, Sunday, February 15, 2026


X Title: Parametric Distance
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,0.37682     ,
2, 0.0029154   ,0.37692     ,
3, 0.0058309   ,0.37701     ,
4, 0.0087463   ,0.37709     ,
5, 0.011662    ,0.37717     ,
6, 0.014577    ,0.37724     ,
7, 0.017493    ,0.37731     ,
8, 0.020408    ,0.37737     ,
9, 0.023324    ,0.37743     ,
10, 0.026239    ,0.37747     ,
11, 0.029155    ,0.37752     ,
12, 0.03207     ,0.37755     ,
13, 0.034985    ,0.37758     ,
14, 0.037901    ,0.37761     ,
15, 0.040816    ,0.37763     ,
16, 0.043732    ,0.37764     ,
17, 0.046647    ,0.37765     ,
18, 0.049563    ,0.37765     ,
19, 0.052478    ,0.37764     ,
20, 0.055394    ,0.37763     ,
21, 0.058309    ,0.37761     ,
22, 0.061224    ,0.37759     ,
23, 0.06414     ,0.37756     ,
24, 0.067055    ,0.37752     ,
25, 0.069971    ,0.37748     ,
26, 0.072886    ,0.37743     ,
27, 0.075802    ,0.37737     ,
28, 0.078717    ,0.37731     ,
29, 0.081633    ,0.37724     ,
30, 0.084548    ,0.37717     ,
31, 0.087464    ,0.37709     ,
32, 0.090379    ,0.37701     ,
33, 0.093294    ,0.37691     ,
34, 0.09621     ,0.37682     ,
35, 0.099125    ,0.37671     ,
36, 0.10204     ,0.3766      ,
37, 0.10496     ,0.37649     ,
38, 0.10787     ,0.37636     ,
39, 0.11079     ,0.37624     ,
40, 0.1137      ,0.3761      ,
41, 0.11662     ,0.37596     ,
42, 0.11953     ,0.37582     ,
43, 0.12245     ,0.37566     ,
44, 0.12536     ,0.37551     ,
45, 0.12828     ,0.37535     ,
46, 0.1312      ,0.37518     ,
47, 0.13411     ,0.375       ,
48, 0.13703     ,0.37482     ,
49, 0.13994     ,0.37464     ,
50, 0.14286     ,0.37445     ,
51, 0.14577     ,0.37425     ,
52, 0.14869     ,0.37405     ,
53, 0.1516      ,0.37385     ,
54, 0.15452     ,0.37363     ,
55, 0.15743     ,0.37342     ,
56, 0.16035     ,0.3732      ,
57, 0.16327     ,0.37297     ,
58, 0.16618     ,0.37274     ,
59, 0.1691      ,0.3725      ,
60, 0.17201     ,0.37226     ,
61, 0.17493     ,0.37202     ,
62, 0.17784     ,0.37177     ,
63, 0.18076     ,0.37151     ,
64, 0.18367     ,0.37125     ,
65, 0.18659     ,0.37099     ,
66, 0.1895      ,0.37073     ,
67, 0.19242     ,0.37045     ,
68, 0.19534     ,0.37018     ,
69, 0.19825     ,0.3699      ,
70, 0.20117     ,0.36962     ,
71, 0.20408     ,0.36933     ,
72, 0.207       ,0.36904     ,
73, 0.20991     ,0.36875     ,
74, 0.21283     ,0.36846     ,
75, 0.21574     ,0.36816     ,
76, 0.21866     ,0.36785     ,
77, 0.22157     ,0.36755     ,
78, 0.22449     ,0.36724     ,
79, 0.22741     ,0.36693     ,
80, 0.23032     ,0.36662     ,
81, 0.23324     ,0.3663      ,
82, 0.23615     ,0.36598     ,
83, 0.23907     ,0.36566     ,
84, 0.24198     ,0.36534     ,
