
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
18:45, Sunday, February 15, 2026


X Title: Parametric Distance
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,1.8707E+07  ,
2, 0.0029154   ,1.8792E+07  ,
3, 0.0058309   ,1.8857E+07  ,
4, 0.0087463   ,1.8873E+07  ,
5, 0.011662    ,1.8866E+07  ,
6, 0.014577    ,1.8911E+07  ,
7, 0.017493    ,1.8903E+07  ,
8, 0.020408    ,1.8871E+07  ,
9, 0.023324    ,1.8842E+07  ,
10, 0.026239    ,1.8778E+07  ,
11, 0.029155    ,1.8677E+07  ,
12, 0.03207     ,1.8575E+07  ,
13, 0.034985    ,1.8493E+07  ,
14, 0.037901    ,1.84E+07    ,
15, 0.040816    ,1.8253E+07  ,
16, 0.043732    ,1.8082E+07  ,
17, 0.046647    ,1.7888E+07  ,
18, 0.049563    ,1.7755E+07  ,
19, 0.052478    ,1.7585E+07  ,
20, 0.055394    ,1.7351E+07  ,
21, 0.058309    ,1.7115E+07  ,
22, 0.061224    ,1.6877E+07  ,
23, 0.06414     ,1.6613E+07  ,
24, 0.067055    ,1.635E+07   ,
25, 0.069971    ,1.6083E+07  ,
26, 0.072886    ,1.577E+07   ,
27, 0.075802    ,1.5449E+07  ,
28, 0.078717    ,1.5127E+07  ,
29, 0.081633    ,1.4765E+07  ,
30, 0.084548    ,1.4402E+07  ,
31, 0.087464    ,1.4047E+07  ,
32, 0.090379    ,1.3656E+07  ,
33, 0.093294    ,1.3266E+07  ,
34, 0.09621     ,1.2873E+07  ,
35, 0.099125    ,1.2449E+07  ,
36, 0.10204     ,1.1993E+07  ,
37, 0.10496     ,1.1525E+07  ,
38, 0.10787     ,1.1065E+07  ,
39, 0.11079     ,1.0599E+07  ,
40, 0.1137      ,1.0104E+07  ,
41, 0.11662     ,9.5917E+06  ,
42, 0.11953     ,9.0803E+06  ,
43, 0.12245     ,8.5656E+06  ,
44, 0.12536     ,7.9991E+06  ,
45, 0.12828     ,7.404E+06   ,
46, 0.1312      ,6.8932E+06  ,
47, 0.13411     ,6.3416E+06  ,
48, 0.13703     ,5.7416E+06  ,
49, 0.13994     ,5.117E+06   ,
50, 0.14286     ,4.5177E+06  ,
51, 0.14577     ,3.9241E+06  ,
52, 0.14869     ,3.2795E+06  ,
53, 0.1516      ,2.6273E+06  ,
54, 0.15452     ,1.9728E+06  ,
55, 0.15743     ,1.3252E+06  ,
56, 0.16035     ,6.6949E+05  ,
57, 0.16327     ,62259,
58, 0.16618     ,7.2293E+05  ,
59, 0.1691      ,1.4228E+06  ,
60, 0.17201     ,2.1266E+06  ,
61, 0.17493     ,2.8449E+06  ,
62, 0.17784     ,3.5697E+06  ,
63, 0.18076     ,4.2778E+06  ,
64, 0.18367     ,5.0362E+06  ,
65, 0.18659     ,5.7857E+06  ,
66, 0.1895      ,6.5299E+06  ,
67, 0.19242     ,7.2987E+06  ,
68, 0.19534     ,8.0846E+06  ,
69, 0.19825     ,8.8273E+06  ,
70, 0.20117     ,9.5889E+06  ,
71, 0.20408     ,1.042E+07   ,
72, 0.207       ,1.1208E+07  ,
