
Study name: Static 2(-Default-)
Plot type: Static displacement Displacement1
18:46, Sunday, February 15, 2026


X Title: Node
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,0.34144     ,
2, 1,0.086862    ,
3, 2,0.39625     ,
4, 3,0.37722     ,
5, 4,0.081989    ,
6, 5,0.084428    ,
7, 6,0.37807     ,
8, 7,0.37927     ,
9, 8,0.38095     ,
10, 9,0.38305     ,
11, 10,0.38525     ,
12, 11,0.38744     ,
13, 12,0.38964     ,
14, 13,0.39185     ,
15, 14,0.39405     ,
16, 15,0.088306    ,
17, 16,0.089781    ,
18, 17,0.091286    ,
19, 18,0.09282     ,
20, 19,0.094381    ,
21, 20,0.095969    ,
22, 21,0.097581    ,
23, 22,0.099216    ,
24, 23,0.10087     ,
25, 24,0.10255     ,
26, 25,0.10425     ,
27, 26,0.10597     ,
28, 27,0.10771     ,
29, 28,0.10946     ,
30, 29,0.11123     ,
31, 30,0.11302     ,
32, 31,0.11482     ,
33, 32,0.11664     ,
34, 33,0.11847     ,
35, 34,0.12031     ,
36, 35,0.12217     ,
37, 36,0.12403     ,
38, 37,0.12591     ,
39, 38,0.12781     ,
40, 39,0.12971     ,
41, 40,0.13162     ,
42, 41,0.13354     ,
43, 42,0.13547     ,
44, 43,0.13742     ,
45, 44,0.13937     ,
46, 45,0.14132     ,
47, 46,0.14329     ,
48, 47,0.14527     ,
49, 48,0.14725     ,
50, 49,0.14924     ,
51, 50,0.15123     ,
52, 51,0.15324     ,
53, 52,0.15525     ,
54, 53,0.15726     ,
55, 54,0.15928     ,
56, 55,0.16131     ,
57, 56,0.16334     ,
58, 57,0.16538     ,
59, 58,0.16743     ,
60, 59,0.16947     ,
61, 60,0.17153     ,
62, 61,0.17359     ,
63, 62,0.17565     ,
64, 63,0.17771     ,
65, 64,0.17978     ,
66, 65,0.18186     ,
67, 66,0.18394     ,
68, 67,0.18602     ,
69, 68,0.1881      ,
70, 69,0.19019     ,
71, 70,0.19228     ,
72, 71,0.19438     ,
73, 72,0.19648     ,
74, 73,0.19858     ,
75, 74,0.20068     ,
76, 75,0.20279     ,
77, 76,0.2049      ,
78, 77,0.20701     ,
79, 78,0.20913     ,
80, 79,0.21124     ,
81, 80,0.21336     ,
82, 81,0.21549     ,
83, 82,0.21761     ,
84, 83,0.21974     ,
85, 84,0.22187     ,
86, 85,0.224       ,
87, 86,0.22613     ,
88, 87,0.22826     ,
89, 88,0.2304      ,
90, 89,0.23254     ,
91, 90,0.23468     ,
92, 91,0.23682     ,
93, 92,0.23897     ,
94, 93,0.24111     ,
95, 94,0.24326     ,
96, 95,0.24541     ,
97, 96,0.24756     ,
98, 97,0.24971     ,
99, 98,0.25187     ,
100, 99,0.25402     ,
101, 100,0.25618     ,
102, 101,0.25834     ,
103, 102,0.2605      ,
104, 103,0.26266     ,
105, 104,0.26483     ,
106, 105,0.26699     ,
107, 106,0.26916     ,
108, 107,0.27133     ,
109, 108,0.2735      ,
110, 109,0.27567     ,
111, 110,0.27784     ,
112, 111,0.28002     ,
113, 112,0.2822      ,
114, 113,0.28438     ,
115, 114,0.28656     ,
116, 115,0.28874     ,
117, 116,0.29093     ,
