
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
18:45, Sunday, February 15, 2026


X Title: Node
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,6.6109E+07  ,
2, 1,4.3513E+07  ,
3, 2,5.7323E+06  ,
4, 3,1.8526E+07  ,
5, 4,4.6196E+07  ,
6, 5,4.485E+07   ,
7, 6,1.5567E+07  ,
8, 7,1.2336E+07  ,
9, 8,8.9237E+06  ,
10, 9,5.8373E+06  ,
11, 10,3.3908E+06  ,
12, 11,1.5682E+06  ,
13, 12,1.3041E+06  ,
14, 13,2.6525E+06  ,
15, 14,4.1809E+06  ,
16, 15,4.2532E+07  ,
17, 16,4.1517E+07  ,
18, 17,4.0486E+07  ,
19, 18,3.9435E+07  ,
20, 19,3.8397E+07  ,
21, 20,3.7373E+07  ,
22, 21,3.6379E+07  ,
23, 22,3.5425E+07  ,
24, 23,3.4525E+07  ,
25, 24,3.3686E+07  ,
26, 25,3.2908E+07  ,
27, 26,3.2207E+07  ,
28, 27,3.158E+07   ,
29, 28,3.1023E+07  ,
30, 29,3.0541E+07  ,
31, 30,3.0125E+07  ,
32, 31,2.9773E+07  ,
33, 32,2.9481E+07  ,
34, 33,2.9239E+07  ,
35, 34,2.9045E+07  ,
36, 35,2.8891E+07  ,
37, 36,2.8771E+07  ,
38, 37,2.8684E+07  ,
39, 38,2.8621E+07  ,
40, 39,2.8577E+07  ,
41, 40,2.8553E+07  ,
42, 41,2.8542E+07  ,
43, 42,2.8541E+07  ,
44, 43,2.8551E+07  ,
45, 44,2.8566E+07  ,
46, 45,2.8586E+07  ,
47, 46,2.8611E+07  ,
48, 47,2.8637E+07  ,
49, 48,2.8665E+07  ,
50, 49,2.8694E+07  ,
51, 50,2.8722E+07  ,
52, 51,2.8751E+07  ,
53, 52,2.8778E+07  ,
54, 53,2.8804E+07  ,
55, 54,2.8829E+07  ,
56, 55,2.8852E+07  ,
57, 56,2.8874E+07  ,
58, 57,2.8894E+07  ,
59, 58,2.8913E+07  ,
60, 59,2.893E+07   ,
61, 60,2.8945E+07  ,
62, 61,2.8959E+07  ,
63, 62,2.8971E+07  ,
64, 63,2.8982E+07  ,
65, 64,2.8991E+07  ,
66, 65,2.9E+07     ,
67, 66,2.9007E+07  ,
68, 67,2.9013E+07  ,
69, 68,2.9018E+07  ,
70, 69,2.9022E+07  ,
71, 70,2.9025E+07  ,
72, 71,2.9027E+07  ,
73, 72,2.9029E+07  ,
74, 73,2.9031E+07  ,
75, 74,2.9031E+07  ,
76, 75,2.9031E+07  ,
77, 76,2.9031E+07  ,
78, 77,2.9031E+07  ,
79, 78,2.9031E+07  ,
80, 79,2.903E+07   ,
81, 80,2.903E+07   ,
82, 81,2.903E+07   ,
83, 82,2.9031E+07  ,
84, 83,2.9032E+07  ,
85, 84,2.9035E+07  ,
86, 85,2.9039E+07  ,
87, 86,2.9044E+07  ,
88, 87,2.9051E+07  ,
89, 88,2.906E+07   ,
90, 89,2.9073E+07  ,
91, 90,2.9088E+07  ,
92, 91,2.9108E+07  ,
93, 92,2.9132E+07  ,
94, 93,2.916E+07   ,
95, 94,2.9196E+07  ,
