16:24, Wednesday, February 18, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
1211  ,102.904  ,41.4704  ,-98.1137  ,1.32545e-01
2517  ,102.729  ,41.5315  ,-100.106  ,1.32544e-01
66050  ,102.892  ,41.8149  ,-98.1126  ,1.32533e-01
40801  ,102.779  ,41.3183  ,-99.5621  ,1.32530e-01
24742  ,102.866  ,41.2878  ,-98.5659  ,1.32530e-01
16007  ,102.824  ,41.6706  ,-98.9648  ,1.32529e-01
24741  ,102.855  ,41.853  ,-98.512  ,1.32523e-01
15986  ,102.766  ,41.8835  ,-99.5081  ,1.32517e-01
5932  ,102.825  ,41.1051  ,-99.0178  ,1.32512e-01
48627  ,102.901  ,40.9842  ,-98.1135  ,1.32510e-01
40800  ,102.724  ,40.9033  ,-100.106  ,1.32497e-01
13  ,102.868  ,42.1587  ,-98.1105  ,1.32495e-01
53575  ,102.694  ,42.1587  ,-100.103  ,1.32494e-01
24750  ,102.83  ,42.1968  ,-98.5098  ,1.32482e-01
48628  ,102.854  ,40.8017  ,-98.5649  ,1.32473e-01
5931  ,102.791  ,42.2348  ,-98.909  ,1.32471e-01
23530  ,102.761  ,40.6903  ,-99.5606  ,1.32449e-01
24749  ,102.832  ,42.5051  ,-98.1074  ,1.32432e-01
15972  ,102.709  ,42.5091  ,-99.5031  ,1.32420e-01
24752  ,102.792  ,42.543  ,-98.5065  ,1.32416e-01
1212  ,102.875  ,40.4986  ,-98.1112  ,1.32413e-01
23529  ,102.787  ,40.4292  ,-99.0431  ,1.32380e-01
2516  ,102.619  ,42.7825  ,-100.096  ,1.32364e-01
15973  ,102.716  ,42.7925  ,-98.9726  ,1.32351e-01
4540  ,102.783  ,42.8499  ,-98.1032  ,1.32347e-01
2518  ,102.68  ,40.2766  ,-100.102  ,1.32344e-01
23512  ,102.797  ,40.1271  ,-98.5884  ,1.32282e-01
15969  ,102.619  ,43.0647  ,-99.5653  ,1.32273e-01
21730  ,102.7  ,43.0983  ,-98.5686  ,1.32265e-01
23528  ,102.696  ,40.0165  ,-99.5834  ,1.32237e-01
21726  ,102.696  ,43.327  ,-98.0955  ,1.32196e-01
56543  ,102.809  ,39.8948  ,-98.1054  ,1.32192e-01
5930  ,102.61  ,43.3454  ,-99.0335  ,1.32178e-01
39579  ,102.6  ,41.7894  ,-98.0871  ,1.32174e-01
30488  ,102.507  ,43.4004  ,-100.087  ,1.32168e-01
24747  ,102.581  ,42.1336  ,-98.0855  ,1.32160e-01
24751  ,102.543  ,42.1716  ,-98.4847  ,1.32148e-01
5921  ,102.704  ,39.7573  ,-99.0644  ,1.32116e-01
24748  ,102.539  ,42.4792  ,-98.0818  ,1.32106e-01
21729  ,102.601  ,43.573  ,-98.5599  ,1.32097e-01
35886  ,102.598  ,39.6539  ,-100.095  ,1.32072e-01
15988  ,102.383  ,41.5476  ,-99.6951  ,1.32058e-01
10665  ,102.488  ,43.6791  ,-99.5539  ,1.32055e-01
39577  ,102.529  ,41.3702  ,-98.0809  ,1.32055e-01
15989  ,102.414  ,41.8993  ,-99.0967  ,1.32050e-01
16009  ,102.431  ,41.3344  ,-99.151  ,1.32034e-01
20136  ,102.489  ,41.1875  ,-98.5329  ,1.32025e-01
4539  ,102.586  ,43.7993  ,-98.0859  ,1.32015e-01
56512  ,102.708  ,39.5262  ,-98.5807  ,1.31994e-01
23501  ,102.514  ,40.8843  ,-98.0796  ,1.31969e-01
21727  ,102.403  ,42.8424  ,-98.0699  ,1.31942e-01
33828  ,102.461  ,43.957  ,-99.0299  ,1.31938e-01
2515  ,102.355  ,44.01  ,-100.073  ,1.31925e-01
20139  ,102.422  ,40.839  ,-98.8765  ,1.31919e-01
30627  ,102.597  ,39.3962  ,-99.5748  ,1.31915e-01
16006  ,102.318  ,42.3047  ,-98.6811  ,1.31909e-01
24743  ,102.371  ,41.5309  ,-98.323  ,1.31895e-01
16005  ,102.315  ,41.9131  ,-98.7207  ,1.31894e-01
10822  ,102.316  ,43.0901  ,-98.535  ,1.31871e-01
26269  ,102.315  ,42.6123  ,-98.2782  ,1.31871e-01
16008  ,102.332  ,41.3482  ,-98.7751  ,1.31868e-01
1213  ,102.706  ,39.2961  ,-98.0964  ,1.31860e-01
15987  ,102.161  ,41.7968  ,-100.056  ,1.31853e-01
23502  ,102.447  ,40.5358  ,-98.4232  ,1.31843e-01
