16:23, Wednesday, February 18, 2026
Study name:Static 2
Units: N/m^2
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
55183  ,94.602  ,36.601  ,-98.2932  ,2.42022e+08
976  ,93.8337  ,46.1866  ,-98.5199  ,2.42022e+08
65298  ,93.8146  ,46.1955  ,-98.2245  ,2.41981e+08
39807  ,93.7976  ,46.1955  ,-98.4188  ,2.41913e+08
60178  ,93.8507  ,46.1866  ,-98.3255  ,2.41900e+08
60177  ,93.8868  ,46.1773  ,-98.4266  ,2.41859e+08
65545  ,94.6531  ,36.6171  ,-98.1997  ,2.41858e+08
827  ,93.7614  ,46.204  ,-98.3176  ,2.41852e+08
46104  ,94.687  ,36.6336  ,-98.3007  ,2.41843e+08
64761  ,93.7444  ,46.204  ,-98.5121  ,2.41816e+08
76  ,94.6361  ,36.6171  ,-98.3942  ,2.41764e+08
55182  ,94.5508  ,36.5852  ,-98.3867  ,2.41750e+08
39810  ,93.7252  ,46.2121  ,-98.2155  ,2.41749e+08
239  ,94.7377  ,36.6505  ,-98.2071  ,2.41748e+08
65299  ,93.9038  ,46.1773  ,-98.2323  ,2.41748e+08
55185  ,94.4994  ,36.5699  ,-98.4802  ,2.41723e+08
42497  ,93.7785  ,46.204  ,-98.1223  ,2.41686e+08
47534  ,94.585  ,36.601  ,-98.4877  ,2.41661e+08
505  ,94.5338  ,36.5852  ,-98.5812  ,2.41645e+08
6115  ,93.8677  ,46.1866  ,-98.1313  ,2.41629e+08
26182  ,94.619  ,36.6171  ,-98.5886  ,2.41582e+08
47535  ,94.67  ,36.6336  ,-98.4951  ,2.41571e+08
43497  ,93.6718  ,46.2197  ,-98.3098  ,2.41553e+08
241  ,94.5678  ,36.5852  ,-98.1922  ,2.41507e+08
46103  ,94.7207  ,36.6505  ,-98.4016  ,2.41436e+08
30066  ,93.7082  ,46.2121  ,-98.411  ,2.41432e+08
64765  ,93.8621  ,46.178  ,-98.6672  ,2.41388e+08
75  ,94.465  ,36.555  ,-98.3792  ,2.41367e+08
38648  ,94.7713  ,36.6678  ,-98.308  ,2.41344e+08
44845  ,94.5164  ,36.5699  ,-98.2857  ,2.41313e+08
64760  ,93.7729  ,46.1962  ,-98.6594  ,2.41307e+08
66631  ,93.9227  ,46.1675  ,-98.5277  ,2.41306e+08
42463  ,94.5774  ,36.6063  ,-98.7374  ,2.41294e+08
65544  ,94.6754  ,36.6205  ,-98.046  ,2.41290e+08
60352  ,93.9567  ,46.1675  ,-98.1389  ,2.41276e+08
38643  ,94.8218  ,36.6854  ,-98.2145  ,2.41198e+08
504  ,94.7037  ,36.6505  ,-98.5961  ,2.41186e+08
62894  ,93.9641  ,46.1689  ,-97.9858  ,2.41179e+08
826  ,93.9397  ,46.1675  ,-98.3333  ,2.41162e+08
60186  ,94.7878  ,36.6854  ,-98.6034  ,2.41136e+08
6113  ,93.6889  ,46.2198  ,-98.1133  ,2.41116e+08
40224  ,94.4919  ,36.5749  ,-98.7299  ,2.41113e+08
77  ,94.8048  ,36.6854  ,-98.4089  ,2.41104e+08
56619  ,94.5902  ,36.5885  ,-98.0386  ,2.41063e+08
66437  ,94.8381  ,36.7035  ,-98.5098  ,2.41051e+08
40222  ,94.4479  ,36.555  ,-98.5737  ,2.41032e+08
40773  ,94.8551  ,36.7035  ,-98.3154  ,2.41020e+08
64982  ,94.7543  ,36.6678  ,-98.5025  ,2.40988e+08
39823  ,93.9926  ,46.1574  ,-98.2399  ,2.40967e+08
51746  ,93.7788  ,46.2065  ,-97.9605  ,2.40905e+08
977  ,93.6548  ,46.2198  ,-98.5043  ,2.40900e+08
39804  ,93.9755  ,46.1574  ,-98.4344  ,2.40893e+08
42499  ,93.6184  ,46.227  ,-98.4031  ,2.40880e+08
56618  ,94.482  ,36.555  ,-98.1847  ,2.40876e+08
57193  ,94.4133  ,36.5404  ,-98.4727  ,2.40871e+08
56620  ,94.5044  ,36.558  ,-98.031  ,2.40815e+08
62875  ,93.6892  ,46.222  ,-97.9515  ,2.40806e+08
62996  ,94.4303  ,36.5404  ,-98.2782  ,2.40794e+08
64722  ,93.5649  ,46.2339  ,-98.4964  ,2.40748e+08
974  ,94.0113  ,46.1469  ,-98.5355  ,2.40736e+08
1065  ,93.8904  ,46.1691  ,-98.8144  ,2.40723e+08
43069  ,93.6355  ,46.227  ,-98.2076  ,2.40720e+08
6117  ,94.0453  ,46.1469  ,-98.1465  ,2.40703e+08
64210  ,94.0283  ,46.1469  ,-98.341  ,2.40691e+08
10283  ,93.9509  ,46.1582  ,-98.675  ,2.40663e+08
62974  ,94.846  ,36.69  ,-98.0609  ,2.40658e+08
389  ,94.6126  ,36.5917  ,-97.8849  ,2.40640e+08
48234  ,93.5284  ,46.2403  ,-98.3952  ,2.40620e+08
828  ,93.5819  ,46.2339  ,-98.302  ,2.40607e+08
59738  ,94.8882  ,36.7219  ,-98.4162  ,2.40590e+08
237  ,94.9052  ,36.7219  ,-98.2218  ,2.40584e+08
64211  ,94.081  ,46.1359  ,-98.2476  ,2.40511e+08
59826  ,94.064  ,46.1359  ,-98.4421  ,2.40463e+08
11933  ,94.744  ,36.6726  ,-98.7543  ,2.40448e+08
681  ,94.45  ,36.5648  ,-98.8787  ,2.40431e+08
44850  ,94.3786  ,36.5263  ,-98.3717  ,2.40394e+08
203  ,94.3956  ,36.5263  ,-98.1772  ,2.40366e+08
46166  ,94.6182  ,36.6271  ,-98.8957  ,2.40344e+08
30204  ,93.8755  ,46.1906  ,-97.8151  ,2.40343e+08
503  ,94.8712  ,36.7219  ,-98.6107  ,2.40327e+08
40818  ,93.599  ,46.2339  ,-98.1064  ,2.40283e+08
40223  ,94.4059  ,36.5452  ,-98.7224  ,2.40237e+08
36931  ,93.6942  ,46.2085  ,-98.803  ,2.40179e+08
63026  ,94.7843  ,36.6584  ,-97.8999  ,2.40107e+08
55769  ,93.7463  ,46.1962  ,-98.963  ,2.40045e+08
60350  ,94.0528  ,46.1483  ,-97.9934  ,2.40041e+08
6233  ,93.6894  ,46.2243  ,-97.7898  ,2.40040e+08
43076  ,93.5758  ,46.2303  ,-98.6478  ,2.40032e+08
46185  ,94.9381  ,36.7407  ,-98.3226  ,2.40030e+08
66434  ,94.9211  ,36.7407  ,-98.5171  ,2.40026e+08
506  ,94.3616  ,36.5263  ,-98.5661  ,2.39969e+08
43068  ,93.5454  ,46.2403  ,-98.2008  ,2.39931e+08
55770  ,93.836  ,46.1779  ,-98.9695  ,2.39921e+08
48235  ,93.4918  ,46.2463  ,-98.2941  ,2.39897e+08
45343  ,94.9293  ,36.7267  ,-98.0682  ,2.39889e+08
979  ,93.4748  ,46.2463  ,-98.4885  ,2.39838e+08
62999  ,94.3437  ,36.5125  ,-98.2706  ,2.39830e+08
60187  ,94.8276  ,36.7085  ,-98.7616  ,2.39826e+08
13511  ,94.5508  ,36.6063  ,-99.041  ,2.39814e+08
51748  ,93.5992  ,46.2359  ,-97.9447  ,2.39810e+08
13512  ,94.4654  ,36.5749  ,-99.0335  ,2.39790e+08
825  ,94.1165  ,46.1246  ,-98.3487  ,2.39763e+08
66348  ,94.1336  ,46.1246  ,-98.1542  ,2.39754e+08
59825  ,94.0995  ,46.1246  ,-98.5432  ,2.39739e+08
46829  ,93.7471  ,46.2168  ,-97.6515  ,2.39725e+08
64611  ,94.6816  ,36.6127  ,-97.7404  ,2.39686e+08
60819  ,94.5957  ,36.5808  ,-97.7329  ,2.39589e+08
62888  ,93.4552  ,46.252  ,-98.1929  ,2.39566e+08
6232  ,94.0602  ,46.1497  ,-97.8403  ,2.39562e+08
6111  ,93.5088  ,46.2463  ,-98.0996  ,2.39538e+08
40756  ,94.3267  ,36.5125  ,-98.4651  ,2.39519e+08
38270  ,93.4382  ,46.252  ,-98.3874  ,2.39457e+08
680  ,94.784  ,36.6954  ,-98.9124  ,2.39376e+08
36615  ,93.4858  ,46.2432  ,-98.64  ,2.39330e+08
62967  ,94.8525  ,36.6815  ,-97.7554  ,2.39299e+08
27230  ,94.7174  ,36.6726  ,-99.0579  ,2.39266e+08
56622  ,94.4397  ,36.5318  ,-97.8697  ,2.39211e+08
