
Study name: Static 2(-Default-)
Plot type: Static displacement Displacement1
16:49, Monday, February 16, 2026


X Title: Parametric Distance
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,0.13256     ,
2, 0.0029154   ,0.13268     ,
3, 0.0058309   ,0.13281     ,
4, 0.0087463   ,0.13293     ,
5, 0.011662    ,0.13304     ,
6, 0.014577    ,0.13316     ,
7, 0.017493    ,0.13327     ,
8, 0.020408    ,0.13337     ,
9, 0.023324    ,0.13348     ,
10, 0.026239    ,0.13357     ,
11, 0.029155    ,0.13367     ,
12, 0.03207     ,0.13376     ,
13, 0.034985    ,0.13385     ,
14, 0.037901    ,0.13393     ,
15, 0.040816    ,0.13401     ,
16, 0.043732    ,0.13409     ,
17, 0.046647    ,0.13416     ,
18, 0.049563    ,0.13423     ,
19, 0.052478    ,0.13429     ,
20, 0.055394    ,0.13435     ,
21, 0.058309    ,0.13441     ,
22, 0.061224    ,0.13447     ,
23, 0.06414     ,0.13452     ,
24, 0.067055    ,0.13456     ,
25, 0.069971    ,0.1346      ,
26, 0.072886    ,0.13464     ,
27, 0.075802    ,0.13468     ,
28, 0.078717    ,0.13471     ,
29, 0.081633    ,0.13474     ,
30, 0.084548    ,0.13476     ,
31, 0.087464    ,0.13479     ,
32, 0.090379    ,0.1348      ,
33, 0.093294    ,0.13482     ,
34, 0.09621     ,0.13483     ,
35, 0.099125    ,0.13483     ,
36, 0.10204     ,0.13484     ,
37, 0.10496     ,0.13484     ,
38, 0.10787     ,0.13483     ,
39, 0.11079     ,0.13483     ,
40, 0.1137      ,0.13481     ,
41, 0.11662     ,0.1348      ,
42, 0.11953     ,0.13478     ,
43, 0.12245     ,0.13476     ,
44, 0.12536     ,0.13474     ,
45, 0.12828     ,0.13471     ,
46, 0.1312      ,0.13468     ,
47, 0.13411     ,0.13464     ,
48, 0.13703     ,0.1346      ,
49, 0.13994     ,0.13456     ,
50, 0.14286     ,0.13452     ,
51, 0.14577     ,0.13447     ,
52, 0.14869     ,0.13442     ,
53, 0.1516      ,0.13436     ,
54, 0.15452     ,0.1343      ,
55, 0.15743     ,0.13424     ,
56, 0.16035     ,0.13418     ,
57, 0.16327     ,0.13411     ,
58, 0.16618     ,0.13404     ,
59, 0.1691      ,0.13396     ,
60, 0.17201     ,0.13389     ,
61, 0.17493     ,0.1338      ,
62, 0.17784     ,0.13372     ,
63, 0.18076     ,0.13363     ,
64, 0.18367     ,0.13354     ,
65, 0.18659     ,0.13345     ,
66, 0.1895      ,0.13335     ,
67, 0.19242     ,0.13325     ,
68, 0.19534     ,0.13315     ,
69, 0.19825     ,0.13304     ,
70, 0.20117     ,0.13293     ,
71, 0.20408     ,0.13282     ,
72, 0.207       ,0.1327      ,
73, 0.20991     ,0.13258     ,
74, 0.21283     ,0.13246     ,
75, 0.21574     ,0.13233     ,
76, 0.21866     ,0.13221     ,
77, 0.22157     ,0.13207     ,
78, 0.22449     ,0.13194     ,
79, 0.22741     ,0.1318      ,
80, 0.23032     ,0.13167     ,
81, 0.23324     ,0.13152     ,
82, 0.23615     ,0.13138     ,
83, 0.23907     ,0.13123     ,
84, 0.24198     ,0.13108     ,
