
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
16:52, Monday, February 16, 2026


X Title: Parametric Distance
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,1.5259E+08  ,
2, 0.0029154   ,1.5445E+08  ,
3, 0.0058309   ,1.5576E+08  ,
4, 0.0087463   ,1.5639E+08  ,
5, 0.011662    ,1.5675E+08  ,
6, 0.014577    ,1.5685E+08  ,
7, 0.017493    ,1.5657E+08  ,
8, 0.020408    ,1.5607E+08  ,
9, 0.023324    ,1.5514E+08  ,
10, 0.026239    ,1.5372E+08  ,
11, 0.029155    ,1.5206E+08  ,
12, 0.03207     ,1.5014E+08  ,
13, 0.034985    ,1.4759E+08  ,
14, 0.037901    ,1.4471E+08  ,
15, 0.040816    ,1.4193E+08  ,
16, 0.043732    ,1.3895E+08  ,
17, 0.046647    ,1.3503E+08  ,
18, 0.049563    ,1.3149E+08  ,
19, 0.052478    ,1.2764E+08  ,
20, 0.055394    ,1.2298E+08  ,
21, 0.058309    ,1.1854E+08  ,
22, 0.061224    ,1.1372E+08  ,
23, 0.06414     ,1.0863E+08  ,
24, 0.067055    ,1.0388E+08  ,
25, 0.069971    ,9.8934E+07  ,
26, 0.072886    ,9.3676E+07  ,
27, 0.075802    ,8.8782E+07  ,
28, 0.078717    ,8.3832E+07  ,
29, 0.081633    ,7.9204E+07  ,
30, 0.084548    ,7.4632E+07  ,
31, 0.087464    ,7.076E+07   ,
32, 0.090379    ,6.7113E+07  ,
33, 0.093294    ,6.4601E+07  ,
34, 0.09621     ,6.2654E+07  ,
35, 0.099125    ,6.1934E+07  ,
36, 0.10204     ,6.2416E+07  ,
37, 0.10496     ,6.4472E+07  ,
38, 0.10787     ,6.6695E+07  ,
39, 0.11079     ,7.0105E+07  ,
40, 0.1137      ,7.406E+07   ,
41, 0.11662     ,7.9049E+07  ,
42, 0.11953     ,8.457E+07   ,
43, 0.12245     ,9.0437E+07  ,
44, 0.12536     ,9.6415E+07  ,
45, 0.12828     ,1.0266E+08  ,
46, 0.1312      ,1.0969E+08  ,
47, 0.13411     ,1.1655E+08  ,
48, 0.13703     ,1.2328E+08  ,
49, 0.13994     ,1.3048E+08  ,
50, 0.14286     ,1.37E+08    ,
51, 0.14577     ,1.4367E+08  ,
52, 0.14869     ,1.5033E+08  ,
53, 0.1516      ,1.5715E+08  ,
54, 0.15452     ,1.6335E+08  ,
55, 0.15743     ,1.6966E+08  ,
56, 0.16035     ,1.757E+08   ,
57, 0.16327     ,1.8164E+08  ,
58, 0.16618     ,1.8731E+08  ,
59, 0.1691      ,1.9277E+08  ,
60, 0.17201     ,1.9795E+08  ,
61, 0.17493     ,2.0304E+08  ,
62, 0.17784     ,2.0768E+08  ,
63, 0.18076     ,2.1206E+08  ,
64, 0.18367     ,2.1614E+08  ,
65, 0.18659     ,2.2006E+08  ,
66, 0.1895      ,2.2375E+08  ,
67, 0.19242     ,2.2718E+08  ,
68, 0.19534     ,2.2997E+08  ,
69, 0.19825     ,2.3228E+08  ,
70, 0.20117     ,2.3481E+08  ,
71, 0.20408     ,2.3704E+08  ,
72, 0.207       ,2.3842E+08  ,
