
Study name: Static 2(-Default-)
Plot type: Static displacement Displacement1
16:51, Monday, February 16, 2026


X Title: Node
Y Title: URES (mm)

Point, X, Y1 (URES (mm))
1, 0,0.11634     ,
2, 1,1E-30,
3, 2,0.029681    ,
4, 3,0.13912     ,
5, 4,0.13316     ,
6, 5,0.0003622   ,
7, 6,0.0007353   ,
8, 7,0.0011263   ,
9, 8,0.0015345   ,
10, 9,0.0019602   ,
11, 10,0.0024041   ,
12, 11,0.0028666   ,
13, 12,0.0033479   ,
14, 13,0.0038481   ,
15, 14,0.0043671   ,
16, 15,0.0049049   ,
17, 16,0.0054612   ,
18, 17,0.0060357   ,
19, 18,0.006628    ,
20, 19,0.0072375   ,
21, 20,0.007864    ,
22, 21,0.0085068   ,
23, 22,0.0091654   ,
24, 23,0.0098393   ,
25, 24,0.010528    ,
26, 25,0.011231    ,
27, 26,0.011947    ,
28, 27,0.012676    ,
29, 28,0.013417    ,
30, 29,0.01417     ,
31, 30,0.014933    ,
32, 31,0.015707    ,
33, 32,0.01649     ,
34, 33,0.017281    ,
35, 34,0.018081    ,
36, 35,0.018888    ,
37, 36,0.019701    ,
38, 37,0.020519    ,
39, 38,0.021342    ,
40, 39,0.022169    ,
41, 40,0.023       ,
42, 41,0.023833    ,
43, 42,0.024667    ,
44, 43,0.025503    ,
45, 44,0.02634     ,
46, 45,0.027176    ,
47, 46,0.028012    ,
48, 47,0.028847    ,
49, 48,0.13344     ,
50, 49,0.13381     ,
51, 50,0.13433     ,
52, 51,0.13497     ,
53, 52,0.13565     ,
54, 53,0.13633     ,
55, 54,0.13702     ,
56, 55,0.13772     ,
57, 56,0.13842     ,
58, 57,0.030176    ,
59, 58,0.030683    ,
60, 59,0.031199    ,
61, 60,0.031726    ,
62, 61,0.032262    ,
63, 62,0.032807    ,
64, 63,0.03336     ,
65, 64,0.033922    ,
66, 65,0.034491    ,
67, 66,0.035068    ,
68, 67,0.035652    ,
69, 68,0.036243    ,
70, 69,0.03684     ,
71, 70,0.037442    ,
72, 71,0.038051    ,
73, 72,0.038665    ,
74, 73,0.039284    ,
75, 74,0.039908    ,
76, 75,0.040537    ,
77, 76,0.041171    ,
78, 77,0.041809    ,
79, 78,0.042451    ,
80, 79,0.043097    ,
81, 80,0.043747    ,
82, 81,0.044401    ,
83, 82,0.045059    ,
84, 83,0.045719    ,
85, 84,0.046384    ,
86, 85,0.047051    ,
87, 86,0.047721    ,
88, 87,0.048395    ,
89, 88,0.049071    ,
90, 89,0.04975     ,
91, 90,0.050431    ,
92, 91,0.051115    ,
93, 92,0.051801    ,
94, 93,0.05249     ,
95, 94,0.053181    ,
96, 95,0.053874    ,
97, 96,0.054569    ,
98, 97,0.055266    ,
99, 98,0.055964    ,
100, 99,0.056665    ,
101, 100,0.057367    ,
102, 101,0.058071    ,
103, 102,0.058777    ,
104, 103,0.059484    ,
105, 104,0.060193    ,
106, 105,0.060903    ,
107, 106,0.061615    ,
108, 107,0.062328    ,
109, 108,0.063042    ,
110, 109,0.063757    ,
111, 110,0.064474    ,
112, 111,0.065192    ,
113, 112,0.065911    ,
114, 113,0.066631    ,
115, 114,0.067352    ,
116, 115,0.068075    ,
