
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
16:48, Monday, February 16, 2026


X Title: Node
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
1, 0,9.2031E+07  ,
2, 1,9.1868E+07  ,
3, 2,4.3508E+07  ,
4, 3,1.2533E+08  ,
5, 4,1.5168E+08  ,
6, 5,8.8888E+07  ,
7, 6,8.5925E+07  ,
8, 7,8.3641E+07  ,
9, 8,8.114E+07   ,
10, 9,7.8794E+07  ,
11, 10,7.6551E+07  ,
12, 11,7.4592E+07  ,
13, 12,7.2835E+07  ,
14, 13,7.125E+07   ,
15, 14,6.9823E+07  ,
16, 15,6.8605E+07  ,
17, 16,6.7543E+07  ,
18, 17,6.6584E+07  ,
19, 18,6.5766E+07  ,
20, 19,6.5016E+07  ,
21, 20,6.4409E+07  ,
22, 21,6.3835E+07  ,
23, 22,6.3331E+07  ,
24, 23,6.2897E+07  ,
25, 24,6.2496E+07  ,
26, 25,6.2138E+07  ,
27, 26,6.1808E+07  ,
28, 27,6.1455E+07  ,
29, 28,6.1125E+07  ,
30, 29,6.078E+07   ,
31, 30,6.042E+07   ,
32, 31,5.9999E+07  ,
33, 32,5.9559E+07  ,
34, 33,5.9051E+07  ,
35, 34,5.851E+07   ,
36, 35,5.7867E+07  ,
37, 36,5.7159E+07  ,
38, 37,5.6376E+07  ,
39, 38,5.5517E+07  ,
40, 39,5.4582E+07  ,
41, 40,5.3541E+07  ,
42, 41,5.2445E+07  ,
43, 42,5.1296E+07  ,
44, 43,5.0063E+07  ,
45, 44,4.8801E+07  ,
46, 45,4.75E+07    ,
47, 46,4.6176E+07  ,
48, 47,4.4842E+07  ,
49, 48,1.1727E+08  ,
50, 49,8.8303E+07  ,
51, 50,6.9088E+07  ,
52, 51,6.1851E+07  ,
53, 52,6.284E+07   ,
54, 53,6.8821E+07  ,
55, 54,7.8959E+07  ,
56, 55,9.2046E+07  ,
57, 56,1.0735E+08  ,
58, 57,4.2523E+07  ,
59, 58,4.1497E+07  ,
60, 59,4.0474E+07  ,
61, 60,3.9428E+07  ,
62, 61,3.8379E+07  ,
63, 62,3.7367E+07  ,
64, 63,3.6366E+07  ,
65, 64,3.5419E+07  ,
66, 65,3.4526E+07  ,
67, 66,3.3693E+07  ,
68, 67,3.2914E+07  ,
69, 68,3.2209E+07  ,
70, 69,3.1591E+07  ,
71, 70,3.1024E+07  ,
72, 71,3.0549E+07  ,
73, 72,3.0126E+07  ,
74, 73,2.9774E+07  ,
75, 74,2.9478E+07  ,
76, 75,2.9241E+07  ,
77, 76,2.9051E+07  ,
78, 77,2.8897E+07  ,
79, 78,2.8784E+07  ,
80, 79,2.8689E+07  ,
81, 80,2.8624E+07  ,
82, 81,2.8582E+07  ,
83, 82,2.8551E+07  ,
84, 83,2.8543E+07  ,
85, 84,2.8544E+07  ,
86, 85,2.8547E+07  ,
87, 86,2.8571E+07  ,
88, 87,2.8585E+07  ,
89, 88,2.8618E+07  ,
90, 89,2.8641E+07  ,
91, 90,2.8676E+07  ,
92, 91,2.8715E+07  ,
93, 92,2.8749E+07  ,
94, 93,2.878E+07   ,
95, 94,2.8819E+07  ,
